combination,12,13,14,15,16,17
G:0B:0P:0S:0,0.2061450156,0.2061450156,0.2061450156,0.1506473008,0.1506473008,0.1506473008
G:0B:0P:0S:1,0.2904568279,0.2904568279,0.2904568279,0.2397784961,0.2397784961,0.2397784961
G:0B:0P:1S:0,0.215483668,0.215483668,0.215483668,0.1585994064,0.1585994064,0.1585994064
G:0B:0P:1S:1,0.3050349105,0.3050349105,0.3050349105,0.2463099182,0.2463099182,0.2463099182
G:0B:0P:2S:0,0.2250166392,0.2250166392,0.2250166392,0.1647084372,0.1647084372,0.1647084372
G:0B:0P:2S:1,0.3150128458,0.3150128458,0.3150128458,0.2529226863,0.2529226863,0.2529226863
G:0B:0P:3S:0,0.2376237078,0.2376237078,0.2376237078,0.1709251762,0.1709251762,0.1709251762
G:0B:0P:3S:1,0.3251415677,0.3251415677,0.3251415677,0.2596141789,0.2596141789,0.2596141789
G:0B:0P:4S:0,0.2472722829,0.2472722829,0.2472722829,0.1792457827,0.1792457827,0.1792457827
G:0B:0P:4S:1,0.3354147085,0.3354147085,0.3354147085,0.2663817342,0.2663817342,0.2663817342
G:0B:10P:0S:0,0.2410764538,0.2410764538,0.2410764538,0.1753532673,0.1753532673,0.1753532673
G:0B:10P:0S:1,0.3288235982,0.3288235982,0.3288235982,0.2621330644,0.2621330644,0.2621330644
G:0B:10P:1S:0,0.2507891743,0.2507891743,0.2507891743,0.1815854112,0.1815854112,0.1815854112
G:0B:10P:1S:1,0.339147145,0.339147145,0.339147145,0.2729019003,0.2729019003,0.2729019003
G:0B:10P:2S:0,0.2643463657,0.2643463657,0.2643463657,0.1879181058,0.1879181058,0.1879181058
G:0B:10P:2S:1,0.349606253,0.349606253,0.349606253,0.2795582646,0.2795582646,0.2795582646
G:0B:10P:3S:0,0.27410209,0.27410209,0.27410209,0.1966843551,0.1966843551,0.1966843551
G:0B:10P:3S:1,0.3650809965,0.3650809965,0.3650809965,0.2862887536,0.2862887536,0.2862887536
G:0B:10P:4S:0,0.2840235182,0.2840235182,0.2840235182,0.2030675089,0.2030675089,0.2030675089
G:0B:10P:4S:1,0.3753955387,0.3753955387,0.3753955387,0.2930910786,0.2930910786,0.2930910786
G:0B:11P:0S:0,0.2443201658,0.2443201658,0.2443201658,0.1774442122,0.1774442122,0.1774442122
G:0B:11P:0S:1,0.3322767817,0.3322767817,0.3322767817,0.2644171908,0.2644171908,0.2644171908
G:0B:11P:1S:0,0.2540917906,0.2540917906,0.2540917906,0.1837106862,0.1837106862,0.1837106862
G:0B:11P:1S:1,0.3426466101,0.3426466101,0.3426466101,0.2751389955,0.2751389955,0.2751389955
G:0B:11P:2S:0,0.2676053603,0.2676053603,0.2676053603,0.1925070881,0.1925070881,0.1925070881
G:0B:11P:2S:1,0.3583076331,0.3583076331,0.3583076331,0.2818206192,0.2818206192,0.2818206192
G:0B:11P:3S:0,0.2774175644,0.2774175644,0.2774175644,0.1988271716,0.1988271716,0.1988271716
