,to +7,8,9,10,11,,,12,13,14,15,16,17,,,18,19,20
G:0B:0P:0S:0,0.6319284637,0.4930587702,0.3550049234,0.3550049234,0.3550049234,,G:0B:0P:0S:0,0.2061450156,0.2061450156,0.2061450156,0.1506473008,0.1506473008,0.1506473008,,G:0B:0P:0S:0,0.08739185073,0.08739185073,0.0572300272
G:0B:0P:0S:1,0.7220425139,0.5818936291,0.4412913756,0.4412913756,0.4412913756,,G:0B:0P:0S:1,0.2904568279,0.2904568279,0.2904568279,0.2397784961,0.2397784961,0.2397784961,,G:0B:0P:0S:1,0.1791356313,0.1791356313,0.1540475529
G:0B:0P:1S:0,0.7220425139,0.5603425699,0.395291852,0.395291852,0.395291852,,G:0B:0P:1S:0,0.215483668,0.215483668,0.215483668,0.1585994064,0.1585994064,0.1585994064,,G:0B:0P:1S:0,0.09017793084,0.09017793084,0.05884501308
G:0B:0P:1S:1,0.8128495253,0.6483052571,0.4834832239,0.4834832239,0.4834832239,,G:0B:0P:1S:1,0.3050349105,0.3050349105,0.3050349105,0.2463099182,0.2463099182,0.2463099182,,G:0B:0P:1S:1,0.1838287525,0.1838287525,0.155405814
G:0B:0P:2S:0,0.8128495253,0.6259054896,0.4412913756,0.4412913756,0.4412913756,,G:0B:0P:2S:0,0.2250166392,0.2250166392,0.2250166392,0.1647084372,0.1647084372,0.1647084372,,G:0B:0P:2S:0,0.09303497614,0.09303497614,0.06047965594
G:0B:0P:2S:1,0.9056002318,0.7180993347,0.5316903393,0.5316903393,0.5316903393,,G:0B:0P:2S:1,0.3150128458,0.3150128458,0.3150128458,0.2529226863,0.2529226863,0.2529226863,,G:0B:0P:2S:1,0.1860296625,0.1860296625,0.1567692188
G:0B:1P:0S:0,0.6613351713,0.5183034188,0.368242391,0.368242391,0.368242391,,G:0B:0P:3S:0,0.2376237078,0.2376237078,0.2376237078,0.1709251762,0.1709251762,0.1709251762,,G:0B:0P:3S:0,0.09509163805,0.09509163805,0.06213534632
G:0B:1P:0S:1,0.7519283175,0.6037581925,0.4551988571,0.4551988571,0.4551988571,,G:0B:0P:3S:1,0.3251415677,0.3251415677,0.3251415677,0.2596141789,0.2596141789,0.2596141789,,G:0B:0P:3S:1,0.1882425171,0.1882425171,0.1581377127
G:0B:1P:1S:0,0.7519283175,0.5818936291,0.4091614569,0.4091614569,0.4091614569,,G:0B:0P:4S:0,0.2472722829,0.2472722829,0.2472722829,0.1792457827,0.1792457827,0.1792457827,,G:0B:0P:4S:0,0.09802530499,0.09802530499,0.06381371567
G:0B:1P:1S:1,0.8436557869,0.6709282576,0.4979236911,0.4979236911,0.4979236911,,G:0B:0P:4S:1,0.3354147085,0.3354147085,0.3354147085,0.2663817342,0.2663817342,0.2663817342,,G:0B:0P:4S:1,0.1904671547,0.1904671547,0.1615400946
G:0B:1P:2S:0,0.8436557869,0.6483052571,0.4551988571,0.4551988571,0.4551988571,,G:0B:10P:0S:0,0.2410764538,0.2410764538,0.2410764538,0.1753532673,0.1753532673,0.1753532673,,G:0B:0P:5S:0,0.1000960068,0.1000960068,0.06551667173
G:0B:1P:2S:1,0.9370153747,0.7407674907,0.5459738123,0.5459738123,0.5459738123,,G:0B:10P:0S:1,0.3288235982,0.3288235982,0.3288235982,0.2621330644,0.2621330644,0.2621330644,,G:0B:0P:5S:1,0.1927034128,0.1927034128,0.1628917897
G:0B:2P:0S:0,0.6925191916,0.539135764,0.3817027776,0.3817027776,0.3817027776,,G:0B:10P:1S:0,0.2507891743,0.2507891743,0.2507891743,0.1815854112,0.1815854112,0.1815854112,,G:0B:0P:6S:0,0.1031159392,0.1031159392,0.06679575352
G:0B:2P:0S:1,0.7821904405,0.6259054896,0.4692950235,0.4692950235,0.4692950235,,G:0B:10P:1S:1,0.339147145,0.339147145,0.339147145,0.2729019003,0.2729019003,0.2729019003,,G:0B:0P:6S:1,0.194951128,0.194951128,0.1642484817
G:0B:2P:1S:0,0.7821904405,0.6037581925,0.4276645382,0.4276645382,0.4276645382,,G:0B:10P:2S:0,0.2643463657,0.2643463657,0.2643463657,0.1879181058,0.1879181058,0.1879181058,,G:0B:10P:0S:0,0.09553492379,0.09553492379,0.06281075383
G:0B:2P:1S:1,0.8746436518,0.6957078305,0.5125207066,0.5125207066,0.5125207066,,G:0B:10P:2S:1,0.349606253,0.349606253,0.349606253,0.2795582646,0.2795582646,0.2795582646,,G:0B:10P:0S:1,0.1887182387,0.1887182387,0.1609057456
G:0B:2P:2S:0,0.8746436518,0.6709282576,0.4692950235,0.4692950235,0.4692950235,,G:0B:10P:3S:0,0.27410209,0.27410209,0.27410209,0.1966843551,0.1966843551,0.1966843551,,G:0B:10P:1S:0,0.0984674152,0.0984674152,0.06448949726
G:0B:2P:2S:1,0.9660184837,0.7636794074,0.5604302132,0.5604302132,0.5604302132,,G:0B:10P:3S:1,0.3650809965,0.3650809965,0.3650809965,0.2862887536,0.2862887536,0.2862887536,,G:0B:10P:1S:1,0.1909453801,0.1909453801,0.1622550725
G:0B:3P:0S:0,0.7219534075,0.5603425699,0.3953743224,0.3953743224,0.3953743224,,G:0B:10P:4S:0,0.2840235182,0.2840235182,0.2840235182,0.2030675089,0.2030675089,0.2030675089,,G:0B:10P:2S:0,0.1005422015,0.1005422015,0.06619254338
G:0B:3P:0S:1,0.8127573421,0.6483052571,0.4835692065,0.4835692065,0.4835692065,,G:0B:10P:4S:1,0.3753955387,0.3753955387,0.3753955387,0.2930910786,0.2930910786,0.2930910786,,G:0B:10P:2S:1,0.1931841071,0.1931841071,0.1636094191
G:0B:3P:1S:0,0.8127573421,0.6259054896,0.4413740715,0.4413740715,0.4413740715,,G:0B:11P:0S:0,0.2443201658,0.2443201658,0.2443201658,0.1774442122,0.1774442122,0.1774442122,,G:0B:10P:3S:0,0.1035605198,0.1035605198,0.06792211361
G:0B:3P:1S:1,0.9055070387,0.7180993347,0.5317753358,0.5317753358,0.5317753358,,G:0B:11P:0S:1,0.3322767817,0.3322767817,0.3322767817,0.2644171908,0.2644171908,0.2644171908,,G:0B:10P:3S:1,0.1954342561,0.1954342561,0.1649687367
G:0B:3P:2S:0,0.9055070387,0.6957078305,0.4835692065,0.4835692065,0.4835692065,,G:0B:11P:1S:0,0.2540917906,0.2540917906,0.2540917906,0.1837106862,0.1837106862,0.1837106862,,G:0B:10P:4S:0,0.1056464077,0.1056464077,0.06968079768
G:0B:3P:2S:1,0.9998880325,0.7868021802,0.575049936,0.575049936,0.575049936,,G:0B:11P:1S:1,0.3426466101,0.3426466101,0.3426466101,0.2751389955,0.2751389955,0.2751389955,,G:0B:10P:4S:1,0.1976956624,0.1976956624,0.1663329769
G:0B:4P:0S:0,0.7518379703,0.5818936291,0.4092450844,0.4092450844,0.4092450844,,G:0B:11P:2S:0,0.2676053603,0.2676053603,0.2676053603,0.1925070881,0.1925070881,0.1925070881,,G:0B:10P:5S:0,0.1087630176,0.1087630176,0.07096371475
G:0B:4P:0S:1,0.843562978,0.6709282576,0.4980106432,0.4980106432,0.4980106432,,G:0B:11P:2S:1,0.3583076331,0.3583076331,0.3583076331,0.2818206192,0.2818206192,0.2818206192,,G:0B:10P:5S:1,0.2027435136,0.2027435136,0.1677020907
G:0B:4P:1S:0,0.843562978,0.6483052571,0.4552827143,0.4552827143,0.4552827143,,G:0B:11P:3S:0,0.2774175644,0.2774175644,0.2774175644,0.1988271716,0.1988271716,0.1988271716,,G:0B:10P:6S:0,0.1108572043,0.1108572043,0.072752882
G:0B:4P:1S:1,0.9369202191,0.7407674907,0.5460598724,0.5460598724,0.5460598724,,G:0B:11P:3S:1,0.3685316401,0.3685316401,0.3685316401,0.2885755997,0.2885755997,0.2885755997,,G:0B:10P:6S:1,0.2049725055,0.2049725055,0.1690760292
G:0B:4P:2S:0,0.9369202191,0.7180993347,0.4980106432,0.4980106432,0.4980106432,,G:0B:11P:4S:0,0.2873930385,0.2873930385,0.2873930385,0.205241877,0.205241877,0.205241877,,G:0B:11P:0S:0,0.0962015353,0.0962015353,0.06366394748
G:0B:4P:2S:1,1,0.8101036123,0.5898231939,0.5898231939,0.5898231939,,G:0B:11P:4S:1,0.3788910813,0.3788910813,0.3788910813,0.2954016361,0.2954016361,0.2954016361,,G:0B:11P:0S:1,0.1894328322,0.1894328322,0.1613814024
G:0B:5P:0S:0,0.7820990722,0.6037581925,0.4277460183,0.4277460183,0.4277460183,,G:0B:12P:0S:0,0.2475839799,0.2475839799,0.2475839799,0.1795468754,0.1795468754,0.1795468754,,G:0B:11P:1S:0,0.0991322342,0.0991322342,0.06536687514
G:0B:5P:0S:1,0.874550371,0.6957078305,0.5126085638,0.5126085638,0.5126085638,,G:0B:12P:0S:1,0.3357457612,0.3357457612,0.3357457612,0.2667097563,0.2667097563,0.2667097563,,G:0B:11P:1S:1,0.1916637153,0.1916637153,0.1627325065
G:0B:5P:1S:0,0.874550371,0.6709282576,0.4693799786,0.4693799786,0.4693799786,,G:0B:12P:1S:0,0.2574135701,0.2574135701,0.2574135701,0.1858472636,0.1858472636,0.1858472636,,G:0B:11P:2S:0,0.1012131119,0.1012131119,0.06664473746
G:0B:5P:1S:1,0.9659264611,0.7636794074,0.5605172801,0.5605172801,0.5605172801,,G:0B:12P:1S:1,0.3461611302,0.3461611302,0.3461611302,0.2773846969,0.2773846969,0.2773846969,,G:0B:11P:2S:1,0.1939061316,0.1939061316,0.1640886131
G:0B:5P:2S:0,0.9659264611,0.7407674907,0.5126085638,0.5126085638,0.5126085638,,G:0B:12P:2S:0,0.2708835995,0.2708835995,0.2708835995,0.1946283848,0.1946283848,0.1946283848,,G:0B:11P:3S:0,0.1042289832,0.1042289832,0.06837414295
G:0B:5P:2S:1,1,0.8335530093,0.6047400924,0.6047400924,0.6047400924,,G:0B:12P:2S:1,0.3617274568,0.3617274568,0.3617274568,0.2840913224,0.2840913224,0.2840913224,,G:0B:11P:3S:1,0.1961599169,0.1961599169,0.1654496737
